Raman peaks (cm−1),Assignment,Vibrational mode,Strength,PMID
896,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
897,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
898,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
899,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
900,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
901,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
902,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
903,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
904,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
905,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
906,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
907,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
908,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
909,Tyr,,,22502575
909,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
910,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
911,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
912,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
913,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
914,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
915,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
916,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
917,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
917,Glutathione,,,36239879
918,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
919,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
920,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
921,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
922,"C–C stretch (protein, collagen) ",,medium,20223058
922,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
923,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
924,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
925,"Pro, glucose",,,22502575
925,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
926,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
927,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
928,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
929,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
930,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
931,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
932,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
932,"Protein (proline, valine, α-helix)",C-C stretch,,34743445
932,"Protein (proline, valine, α-helix)",C─C stretch,,34743445
933,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
934,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
935,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
936,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
937,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
938,"C–C skeletal stretch in protein, collagen ",,strong,20223058
938,Protein (collagen),C-C Proline and valine (a-helix) stretch,,24710050
938,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
938,Skeletal str α,,,36239879
944,"Protein (proline, valine, α-helix)",C─C stretch,,34743445
948,Single-bond stretching vibrations for the amino acids proline and valine and polysaccharides ,,,32508914
952,"Protein (proline, valine, α-helix)",C─C stretch,,34743445
955,CH2 rock,,,36239879
955,Protein bands; structural protein modes of tumors,,,36832007
956,Protein bands; structural protein modes of tumors,,,36832007
957,"Lipid, protein","CH3 (deformed) bending, swing",,24710050
957,Protein bands; structural protein modes of tumors,,,36832007
958,"Valine, proline",C-C vibration,,30666105
958,Protein bands; structural protein modes of tumors,,,36832007
959,Sym. stretch phosphate,,weak(shoulder),20223058
973,deoxygenated of cells porphyrin macrocycle,═C─H out of plane deformation C─C Asym. Str. ,,23154776
975,"""=C-H out-of-plane deformation""",,,23448574
980,Protein,,,36832007
1000,Protein (phenylalanine),Symmetric ring breathing,,34743445
1001,"Phenylalanine, protein",ring breathing stretch,,24710050
1001,Protein (phenylalanine),Symmetric ring breathing,,34743445
1001,Protein (phenylalanine),Symmetric ring breathing,,34743445
1001,Protein,,,36832007
1002,"Phenylalanine, protein",ring breathing stretch,,24710050
1002,Phe,,,36239879
1002,Protein,,,36832007
1003,Sym. ring breathing of phenylalanine ,,very strong,20223058
1003,"Phenylalanine, protein",ring breathing stretch,,24710050
1003,Protein,,,36832007
1004,Phenylalanine ,C─C  symmetric stretching, medium,21747512
1004,"Phenylalanine, Collagen IV, I",Symmetric CC aromatic ring breathing ,,23154776
1004,Symmetric CC aromatic ring breathing,,,23448574
1004,"Phenylalanine, protein",ring breathing stretch,,24710050
1004,phenylalanine,,,32531903
1004,C─C symmetric ring breathing mode of phenylalanine,,,36227878
1004,Protein,,,36832007
1005,Protein (phenylalanine),Symmetric ring breathing,,34743445
1009,"Try, Lys, Phe",,,22502575
1011,Protein (phenylalanine),Symmetric ring breathing,,34743445
1014,Phenylalanine,C-H stretching vibration,,30666105
1024,"2'-deoxyribose, phosphate",,,30899639
1028,Protein (phenylalanine),C─H stretch,,34743445
1028,Phe,,,36239879
1033,C–H in plane bending of phenylalanine ,,medium,20223058
1033,"Phenylalanine, tryptophan, tyrosine",C-H (Plane bending) aromatic compound,,24710050
1041,Protein (phenylalanine),C─H stretch,,34743445
1063,Phe,,,36239879
1064,C–C skeletal stretch in lipids ,,weak,20223058
1065,,-C = C = C- stretch,,24710050
1072,Collagen,,,36832007
1074,Phospholipids ,C─C  stretching,weak,21747512
1077,"Lipids, nucleic acids, proteins, carbohydrates",,,22502575
1083,"Nucleic acid (DNA, RNA)","O-P-O- symmetric stretch, C-C phospholipid stretch",,24710050
1083,"Phospholipids, O-P-O and C-C",,,36239879
1084,"Nucleic acid (DNA, RNA)","O-P-O- symmetric stretch, C-C phospholipid stretch",,24710050
1085,"Nucleic acid (DNA, RNA)","O-P-O- symmetric stretch, C-C phospholipid stretch",,24710050
1085,phosphodiester groups in nucleic acids,,,32531903
1086,"Nucleic acid (DNA, RNA)","O-P-O- symmetric stretch, C-C phospholipid stretch",,24710050
1087,"Nucleic acid (DNA, RNA)","O-P-O- symmetric stretch, C-C phospholipid stretch",,24710050
1088,"Protein, phospholipid, glycogen Collagen IV, I","CC stretch, CC skeletal stretch trans, PO2 symmetric ",,23154776
1088,"Nucleic acid (DNA, RNA)","O-P-O- symmetric stretch, C-C phospholipid stretch",,24710050
1089,"Nucleic acid (DNA, RNA)","O-P-O- symmetric stretch, C-C phospholipid stretch",,24710050
1090,"Nucleic acid (DNA, RNA)","O-P-O- symmetric stretch, C-C phospholipid stretch",,24710050
1090,Symmetric phosphate stretching vibrations,,,36832007
1091,"Nucleic acid (DNA, RNA)","O-P-O- symmetric stretch, C-C phospholipid stretch",,24710050
1092,"Nucleic acid (DNA, RNA)","O-P-O- symmetric stretch, C-C phospholipid stretch",,24710050
1093,"Nucleic acid (DNA, RNA)","O-P-O- symmetric stretch, C-C phospholipid stretch",,24710050
1094,"Nucleic acid (DNA, RNA)","O-P-O- symmetric stretch, C-C phospholipid stretch",,24710050
1095,"Nucleic acid (DNA, RNA)","O-P-O- symmetric stretch, C-C phospholipid stretch",,24710050
1098,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1098,phosphate str.,,,30899639
1099,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1100,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1101,DNA: O–P–O backbone stretch ,,medium,20223058
1101,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1102,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1103,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1103,Phenylalanine,,,32508914
1103,Phe,,,36239879
1104,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1105,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1106,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1107,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1108,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1109,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1110,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1111,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1112,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1113,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1114,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1115,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1116,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1117,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1118,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1119,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1120,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1121,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1122,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1123,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1124,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1125,C–C skeletal stretch in lipids,,weak,20223058
1125,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1126,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1126,"Phospholipid, lipoproteins, C-C skeletal of acyl backbone in lipid",,,36227878
1126,"Protein, Phospholipid C-C str",,,36239879
1127,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1127,"Protein, Lipid","C-N protein stretch, C-C lipid stretch",,24710050
1127,,C─H in-plane bend, medium,29981226
1128,Lipids,"C─C stretching, trans ",,23154776
1128,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1129,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1129,saturated fatty acids,,,32531903
1130,"CC stretch, CC skeletal stretch trans, PO2 symmetric",,,23448574
1130,D-mannose,C-N stretching vibration,,30666105
1131,D-Mannose ,C─C  stretching,strong,21747512
1151,"Protein, carotenoid",C─N and C─C stretch,,34743445
1152,"Protein, carotenoid",C─N and C─C stretch,,34743445
1156,β-carotene,C═C stretch ,,23154776
1156,CH3 rock,,,23448574
1157,Carotenoids,Polyene chain,,24710050
1158,C-C stretching mode of beta-carotene,,,36227878
1160,β-carotene,,,36239879
1170,Protein (tyrosine),C─H bend,,34743445
1171,"Phenylalanine, tyrosine ",,,32508914
1172,CH3 rock,,,23448574
1173,"Tyrosine, hemoglobin, Flavin",C─H in-plane bending ,,23154776
1173,"Phenylalanine, tyrosine (protein)",C-H stretch,,24710050
1174,"Trp, Phe",,,36239879
1176,Cytosine/guanine/adenine ,,weak,20223058
1184,,C─H in-plane bend, medium,29981226
1188,"C ring str., T ring str.",,,30899639
1204,"Protein (phenylalanine, tryptophan, tyrosine)",C − C6H5 stretch,,34743445
1206,Tyrosine,Ring vibration , medium,21747512
1206,Tyrosine,,,32508914
1208,CC stretch backbone phenyl ring ,,weak,20223058
1208,Trp,,,36239879
1209,"Tryptophan, phenylalanine (protein)",C-C6H5 stretch,,24710050
1210,Amide III,"C-N stretching vibration, N-H bending vibration",,30666105
1214,Homo polypeptide,Amide III ,,23154776
1219,Protein (β-sheet),Amide III,,34743445
1223,Amide III,,,23448574
1230,,Amino compound III (β fold),,24710050
1231,,Amino compound III (β fold),,24710050
1232,,Amino compound III (β fold),,24710050
1233,,Amino compound III (β fold),,24710050
1234,,Amino compound III (β fold),,24710050
1234,Amide III ,,,32508914
1234,Amide III,,,36239879
1235,,Amino compound III (β fold),,24710050
1235,Protein (β-sheet),Amide III,,34743445
1235,Amide III,,,36239879
1236,,Amino compound III (β fold),,24710050
1236,Amide III,,,36239879
1237,,Amino compound III (β fold),,24710050
1237,Amide III,,,36239879
1238,,Amino compound III (β fold),,24710050
1238,Protein (β-sheet),Amide III,,34743445
1238,Amide III,,,36239879
1239,,Amino compound III (β fold),,24710050
1239,Amide III,,,36239879
1240,,Amino compound III (β fold),,24710050
1240,"C ring str., A ring str.",,,30899639
1240,Amide III,,,36239879
1241,Amide III,,,36239879
1242,Amide III,,,36239879
1243,Amide III,,,36239879
1244,Amide III,,,36239879
1245,,Amino compound III (a-helix),,24710050
1245,,"Amino compound III (random coil, corner",,24710050
1245,Amide III,,,36239879
1246,,Amino compound III (a-helix),,24710050
1246,,"Amino compound III (random coil, corner",,24710050
1246,Amide III,,,36239879
1247,Amide III: β-sheet ,,strong,20223058
1247,,Amino compound III (a-helix),,24710050
1247,,"Amino compound III (random coil, corner",,24710050
1247,Amide III,,,36239879
1248,,Amino compound III (a-helix),,24710050
1248,,"Amino compound III (random coil, corner",,24710050
1248,"Amide III, parallel beta-sheet",,,36227878
1248,Amide III,,,36239879
1249,,Amino compound III (a-helix),,24710050
1249,,"Amino compound III (random coil, corner",,24710050
1249,"Amide III, parallel beta-sheet",,,36227878
1249,Amide III,,,36239879
1250,,Amino compound III (a-helix),,24710050
1250,,"Amino compound III (random coil, corner",,24710050
1250,"Amide III, parallel beta-sheet",,,36227878
1250,Amide III,,,36239879
1251,,Amino compound III (a-helix),,24710050
1251,,"Amino compound III (random coil, corner",,24710050
1251,"Amide III, parallel beta-sheet",,,36227878
1251,Amide III,,,36239879
1252,,Amino compound III (a-helix),,24710050
1252,,"Amino compound III (random coil, corner",,24710050
1252,"Amide III, parallel beta-sheet",,,36227878
1252,Amide III,,,36239879
1253,,Amino compound III (a-helix),,24710050
1253,,"Amino compound III (random coil, corner",,24710050
1253,C-O4 aromatic stretching ,,,32508914
1253,"Amide III, parallel beta-sheet",,,36227878
1253,Amide III,,,36239879
1254,,Amino compound III (a-helix),,24710050
1254,,"Amino compound III (random coil, corner",,24710050
1254, Protein (β-sheet),Amide III,,34743445
1254,"Amide III, parallel beta-sheet",,,36227878
1254,Amide III,,,36239879
1255,,Amino compound III (a-helix),,24710050
1255,,"Amino compound III (random coil, corner",,24710050
1255,"Amide III, parallel beta-sheet",,,36227878
1255,Amide III,,,36239879
1256,,Amino compound III (a-helix),,24710050
1256,,"Amino compound III (random coil, corner",,24710050
1256,"Amide III, parallel beta-sheet",,,36227878
1256,Amide III,,,36239879
1257,,Amino compound III (a-helix),,24710050
1257,,"Amino compound III (random coil, corner",,24710050
1257,"Amide III, parallel beta-sheet",,,36227878
1257,Amide III,,,36239879
1258,,Amino compound III (a-helix),,24710050
1258,,"Amino compound III (random coil, corner",,24710050
1258,"Amide III, parallel beta-sheet",,,36227878
1258,Amide III,,,36239879
1259,,Amino compound III (a-helix),,24710050
1259,,"Amino compound III (random coil, corner",,24710050
1259,"Amide III, parallel beta-sheet",,,36227878
1259,Amide III,,,36239879
1260,,Amino compound III (a-helix),,24710050
1260,,"Amino compound III (random coil, corner",,24710050
1260,Amide III (C–N stretch + N–H bend),,,32531903
1260,"Amide III, parallel beta-sheet",,,36227878
1260,Amide III,,,36239879
1261,,Amino compound III (a-helix),,24710050
1261,,"Amino compound III (random coil, corner",,24710050
1261,"Amide III, parallel beta-sheet",,,36227878
1261,Amide III,,,36239879
1262,,Amino compound III (a-helix),,24710050
1262,,"Amino compound III (random coil, corner",,24710050
1262,"Amide III, parallel beta-sheet",,,36227878
1262,Amide III,,,36239879
1263,,Amino compound III (a-helix),,24710050
1263,,"Amino compound III (random coil, corner",,24710050
1263,"Amide III, parallel beta-sheet",,,36227878
1263,Amide III,,,36239879
1264,,Amino compound III (a-helix),,24710050
1264,,"Amino compound III (random coil, corner",,24710050
1264,"Amide III, parallel beta-sheet",,,36227878
1264,Amide III,,,36239879
1265,,Amino compound III (a-helix),,24710050
1265,,"Amino compound III (random coil, corner",,24710050
1265,"Amide III, parallel beta-sheet",,,36227878
1265,Amide III,,,36239879
1266,Protein,"C-H stretch, H-N- : bending, deformed, swing (Bending) amino compound III",,24710050
1266,,Amino compound III (a-helix),,24710050
1266,,"Amino compound III (random coil, corner",,24710050
1266,"DNA/RNA (thymine, adenine), protein (α-helix)",Amide III,,34743445
1266,Amide III,,,36239879
1267,,Amino compound III (a-helix),,24710050
1267,,"Amino compound III (random coil, corner",,24710050
1267,Amide III,,,36239879
1267,Amide III (collagen assignment),,,36832007
1268,,Amino compound III (a-helix),,24710050
1268,,"Amino compound III (random coil, corner",,24710050
1268,Amide III,,,36239879
1269,,Amino compound III (a-helix),,24710050
1269,,"Amino compound III (random coil, corner",,24710050
1269,Amide III,,,36239879
1270,,Amino compound III (a-helix),,24710050
1270,,"Amino compound III (random coil, corner",,24710050
1270,"C, A",,,30899639
1270,Amide III,,,36239879
1271,,Amino compound III (a-helix),,24710050
1271,,"Amino compound III (random coil, corner",,24710050
1271,Amide III,,,36239879
1272,,Amino compound III (a-helix),,24710050
1272,,"Amino compound III (random coil, corner",,24710050
1272,Amide III,,,36239879
1273,deformation=CH amide III ,,weak,20223058
1273,Amide III,,,36239879
1274,Amide III,,,36239879
1275,Amide III,,,36239879
1276,Amide III,,,36239879
1277,Amide III,,,36239879
1278,Amide III,,,36239879
1279,Amide III,,,36239879
1280,"Phospholipid, amide III proteins, lipids, T",,,22502575
1280,Amide III,,,36239879
1288,,Lipid CH2 bending and CH2CH3 bending,,24710050
1289,,Lipid CH2 bending and CH2CH3 bending,,24710050
1290,,Lipid CH2 bending and CH2CH3 bending,,24710050
1291,,Lipid CH2 bending and CH2CH3 bending,,24710050
1292,,Lipid CH2 bending and CH2CH3 bending,,24710050
1292,Cytosine,,,32508914
1293,,Lipid CH2 bending and CH2CH3 bending,,24710050
1294,,Lipid CH2 bending and CH2CH3 bending,,24710050
1295,,Lipid CH2 bending and CH2CH3 bending,,24710050
1296,,Lipid CH2 bending and CH2CH3 bending,,24710050
1297,,Lipid CH2 bending and CH2CH3 bending,,24710050
1297,Lipid,Fatty acid,,34743445
1298,,Lipid CH2 bending and CH2CH3 bending,,24710050
1299,,Lipid CH2 bending and CH2CH3 bending,,24710050
1300,,Lipid CH2 bending and CH2CH3 bending,,24710050
1300,"Trp, α helix, Phospholipids",,,36239879
1301,"Collagen IV, I","Amide III,  bending(N─H)-30%, α-helix, stretch (C─N)-40% & CH3  bending",,23154776
1301,,Lipid CH2 bending and CH2CH3 bending,,24710050
1301,"Trp, α helix, Phospholipids",,,36239879
1302,,Lipid CH2 bending and CH2CH3 bending,,24710050
1302,"Trp, α helix, Phospholipids",,,36239879
1303,,Lipid CH2 bending and CH2CH3 bending,,24710050
1303,"Trp, α helix, Phospholipids",,,36239879
1304,,Lipid CH2 bending and CH2CH3 bending,,24710050
1304,"Trp, α helix, Phospholipids",,,36239879
1305,"Trp, α helix, Phospholipids",,,36239879
1306,"Amide III (N–H), α-helix, C-C Str & C-H bending",,,23448574
1306,"Trp, α helix, Phospholipids",,,36239879
1307,"Trp, α helix, Phospholipids",,,36239879
1308,"Trp, α helix, Phospholipids",,,36239879
1309,"Trp, α helix, Phospholipids",,,36239879
1310,"Trp, α helix, Phospholipids",,,36239879
1311,"Trp, α helix, Phospholipids",,,36239879
1312,"Trp, α helix, Phospholipids",,,36239879
1313,,N─H in-plane bend, medium,29981226
1313,"Trp, α helix, Phospholipids",,,36239879
1314,"Trp, α helix, Phospholipids",,,36239879
1315,"Trp, α helix, Phospholipids",,,36239879
1316,"Trp, α helix, Phospholipids",,,36239879
1317,"Trp, α helix, Phospholipids",,,36239879
1318,"Trp, α helix, Phospholipids",,,36239879
1319,"Trp, α helix, Phospholipids",,,36239879
1319,Collagen assignment; Amide III,,,36832007
1320,Unsaturated fatty acid,"C-H bending, deformed, swing (Plane deformation) ordinary olefin",,24710050
1320,"Protein, nucleic acid","CH2CH3 stretch and bending, deformed, swing",,24710050
1320,"Trp, α helix, Phospholipids",,,36239879
1320,Collagen assignment; Amide III,,,36832007
1321,"CH2 deformation in lipids/adenine/cytosine, amide III (α-helix)",,strong,20223058
1321,Unsaturated fatty acid,"C-H bending, deformed, swing (Plane deformation) ordinary olefin",,24710050
